Non,Noiz,Lebron hasten da,Wade-ren erasoa,Wade-ren defentsa,Haslem-en aurkaria,Emaitza
Etxean,19:00:00,Bai,Zentroan,Aurreratua,Altua,Irabazi
Etxean,19:00:00,Bai,Alboetatik,Atzeratua,Baxua,Irabazi
Kanpoan,19:00:00,Bai,Alboetatik,Aurreratua,Altua,Irabazi
Etxean,17:00:00,Ez,Alboetatik,Atzeratua,Altua,Galdu
Kanpoan,21:00:00,Bai,Alboetatik,Aurreratua,Baxua,Galdu
Kanpoan,19:00:00,Ez,Zentroan,Aurreratua,Altua,Irabazi
Etxean,19:00:00,Ez,Alboetatik,Atzeratua,Altua,Galdu
Etxean,19:00:00,Bai,Zentroan,Atzeratua,Altua,Irabazi
Kanpoan,19:00:00,Bai,Zentroan,Atzeratua,Baxua,Irabazi
Etxean,21:00:00,Ez,Alboetatik,Atzeratua,Baxua,Galdu
Kanpoan,19:00:00,Ez,Alboetatik,Aurreratua,Baxua,Galdu
Kanpoan,17:00:00,Ez,Zentroan,Aurreratua,Altua,Irabazi
Etxean,19:00:00,Ez,Zentroan,Atzeratua,Altua,Galdu
Etxean,21:00:00,Ez,Alboetatik,Aurreratua,Baxua,Galdu
Etxean,17:00:00,Bai,Zentroan,Aurreratua,Altua,Irabazi
Kanpoan,17:00:00,Ez,Zentroan,Aurreratua,Baxua,Irabazi
Etxean,17:00:00,Bai,Alboetatik,Aurreratua,Altua,Irabazi
